text,label,clean_text,text_length
F:The system shall display Events or Activities.,functional,fthe system shall display event activity,6
F: The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,functional,f display shall two region left display graphical right display data table,12
F:The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,functional,fthe data displayed node within graph row table msel summary data,11
F:The table side of the display shall be split into 2 regions: sequential and temporal.,functional,fthe table side display shall split region sequential temporal,9
F:The top 1/4 of the table will hold events that are to occur sequentially.,functional,fthe top table hold event occur sequentially,7
F:The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,functional,fthe bottom table hold event occur according relevance current time,10
F:The system shall color code events according to their variance from current time.,functional,fthe system shall color code event according variance current time,10
F:The system shall provide a history report of changes made to the Activity or Event data,functional,fthe system shall provide history report change made activity event data,11
LF:The look and feel of the system shall conform to the user interface standards of the smart device.,functional,lfthe look feel system shall conform user interface standard smart device,11
LF: The user interface shall have standard menus  buttons for navigation,functional,lf user interface shall standard menu button navigation,8
F:The system shall update or create new property listings in the MLS,functional,fthe system shall update create new property listing ml,9
F:Realtor shall be able to generate a CMA report based on property criteria,functional,frealtor shall able generate cma report based property criterion,9
F:Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,functional,fprogram administrator nursing staff member shall able add clinical class section sequence class,13
F: Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,functional,f program administrator nursing staff member shall able add new cohort system identified start month year,16
F:Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,functional,fprogram administrator nursing staff member shall able add new class nursing department system,13
F:A class shall be either a non-clinical class or a clinical class.,functional,fa class shall either nonclinical class clinical class,8
F: A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,functional,f nonclinical class shall specify course name lecture room requirement instructor need,12
F: A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,functional,f clinical class shall specify course name lecture room requirement clinical site need lecture instructor need clinical lab instructor need,20
F:Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,functional,fprogram administratorsnursing staff member shall able create new program study,10
F:A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,functional,fa program study shall consist program name listing required class clinical nonclinical must completed,14
F:Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,functional,fprogram administrator nursing staff member shall ability specify class required program study,12
F:The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members� planning purposes.,functional,fthe system shall able display report needed class given quarter cohort program program administratorsnursing staff member planning purpose,18
F: The report of needed classes shall include (but not be limited to) classes to be offered  number of sections needed  number of labs needed  and room types needed.,functional,f report needed class shall include limited class offered number section needed number lab needed room type needed,18
F:Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,functional,fclasses given cohort shall conflict regard time day offered,9
F:Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,functional,fprogram administrator nursing staff member shall able add new clinical site system,12
F: Clinical site information shall include (but not be limited to) the name of the site  contact person  and contact information.,functional,f clinical site information shall include limited name site contact person contact information,13
F:Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,functional,fprogram administrator nursing staff member shall able add new clinical lab section existing clinical class system,16
F: A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.,functional,f clinical lab section shall include clinical site name class instructor day time lab,14
F:Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,functional,fprogram administrator nursing staff member shall able add student registered clinical class clinical lab section class,16
F:The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,functional,fthe system shall allow program administrator nursing staff member remove student clinical lab section,14
F:The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,functional,fthe system shall allow program administratornursing staff member move student one clinical lab section another clinical lab section corresponding clinical class,21
F:Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,functional,fprogram administratorsnursing staff member shall able cancel clinical lab section student registered clinical lab section,15
F:A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,functional,fa program administratornursing staff member shall able add new nursing student system,12
F: A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.,functional,f staff member shall ability manage progress part time student includes modifying sequence class timeline class,16
F: The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.,functional,f system shall able display printable summary individual cohort include student enlisted program study sequence class cohort progress program timeline completion,21
F: The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).,functional,f system shall able display printable summary individual clinical site include information lab held site given quarter clinical site general information lab held location date time lab held,28
F: The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.,functional,f system shall able display printable summary individual clinical lab include limited class name class number lab section listing student enrolled instructor day time location,25
F: The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.,functional,f system shall able display printable summary individual nursing student include limited student name student id admission date class credit gpa cohort student enrolled,24
F:The system shall be able to display a printable summary of the system log.,functional,fthe system shall able display printable summary system log,9
F: The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,functional,f system shall contain contact information email phone number people relevant system including limited staff member student lecture instructor clinical lab instructor clinical site administrator,25
F: The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohort�s program of study and changes to a given week�s schedule (lab cancelled this week due to instructor illness).,functional,f system notify affected party change occur affecting cohort including limited change sequence cohort program study change given week schedule lab cancelled week due instructor illness,26
F: The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a student�s status from full time to part time and moving a student to a different clinical section.,functional,f system notify affected party change occur affecting specific student including limited changing student status full time part time moving student different clinical section,24
F: Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts  including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.,functional,f program administratorsnursing staff member shall ability modify information relating cohort including cohort identifier program study preferred sequence class quarter cohort taking specific class,24
F: Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department  including the Program of study name  and required classes for that Program of Study.,functional,f program administratorsnursing staff member shall ability modify information relating program study within nursing department including program study name required class program study,23
F: Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site  including the clinical site name  site contact person  contact information  and address.,functional,f program administratorsnursing staff member shall ability modify information relating clinical site including clinical site name site contact person contact information address,22
F: Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section  including the clinical site name  the department/section for the lab  the class  instructor  day and time of lab  and contact information.,functional,f program administratorsnursing staff member shall ability modify information relating clinical lab section including clinical site name departmentsection lab class instructor day time lab contact information,26
F: Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name  phone number  e-mail  status (full time or part time)  and program of study.,functional,f program administratorsnursing staff member shall ability modify information relating nursing student including student id student name phone number email status full time part time program study,27
LF:The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,functional,lfthe dispute application shall comply corporate standard user interface creation internally externally used application,14
LF:All screens created as part of the Disputes application must comply with corporate standards for interface creation.,functional,lfall screen created part dispute application must comply corporate standard interface creation,12
US:The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,functional,usthe list dispute case displayed search performed must color coded easy identification dispute case based upon dispute case status,19
US:100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,functional,u cardmember merchant service representative shall use dispute application regularly day training course,13
US:100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,functional,u cardmember service representative shall able successfully create dispute case first encounter completing training course,15
US:100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,functional,u merchant service representative shall able successfully perform follow action dispute case first encounter completing training course,17
O:The Disputes application shall interface with the Cardmember Information Database.  The Cardmember Information Database provides detailed information with regard to a cardmember.  All cardmember detail information must be obtained from the Cardmember Information Database.,functional,othe dispute application shall interface cardmember information database cardmember information database provides detailed information regard cardmember cardmember detail information must obtained cardmember information database,24
O:The Disputes applications shall interface with the Merchant Information Database.  The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,functional,othe dispute application shall interface merchant information database merchant information database provides detailed information regard merchant merchant detail information shall obtained merchant information database,24
O:The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,functional,othe dispute application shall interface letter application allow dispute application request letter part dispute initiation dispute follow process letter request must sent print letter utility application,26
O:The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant�s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,functional,othe dispute application shall interface cardmember posting billing system allow dispute application request adjustment cardmember merchant account adjustment request must sent cardmember posting billing system,25
SE:The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,functional,sethe dispute application shall ensure user appropriate access level allowed initiate dispute request,13
SE:Only users with Update access must be able to initiate dispute requests.,functional,seonly user update access must able initiate dispute request,9
SE:The Disputes application shall ensure that only authorized users are allowed to logon to the application.,functional,sethe dispute application shall ensure authorized user allowed logon application,10
SE: All authorized users  once authenticated must be able to logon to the Disputes System,functional,se authorized user authenticated must able logon dispute system,9
SE:The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user�s access level.  The report will be reviewed for auditing purposes.,functional,sethe dispute system shall generate user report detail new user added change existing user access level report reviewed auditing purpose,20
SE:All additions of new users and modifications to users access shall be recorded on the User Report.,functional,seall addition new user modification user access shall recorded user report,11
SE: If a user account is revoked  it can only be re-instantiated by the System Administrator.,functional,se user account revoked reinstantiated system administrator,7
SE:Only the System Administrator shall be able to reset a revoked user logon account,functional,seonly system administrator shall able reset revoked user logon account,10
SE:The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,functional,sethe dispute application shall manipulate view business data user direct access data file database,14
SE:All updates to data files or database must be initiated from the Disputes System.,functional,seall update data file database must initiated dispute system,9
L:The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,functional,lthe dispute application must conform legal requirement specified merchant operating regulation,11
L:All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,functional,lall business rule specified dispute system shall compliance merchant operating regulation,11
L:The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,functional,lthe dispute application must conform legal requirement specified regulation e regulation z govern credit card dispute processing,17
PE:The system shall refresh the display every 60 seconds.,non-functional,pethe system shall refresh display every second,7
LF:The application shall match the color of the schema set forth by Department of Homeland Security,non-functional,lfthe application shall match color schema set forth department homeland security,11
US: If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,non-functional,u projected data must readable x projection screen viewer must able read event activity data viewing distance,17
A: The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,non-functional,product shall available normal business hour long user access client pc system available time first six month operation,18
US: If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,non-functional,u projected data must understandable x projection screen viewer must able determine event activity occuring current time viewing distance,19
SE:The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,non-functional,sethe product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt,15
US:The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,non-functional,usthe product shall intuitive selfexplanatory new user shall able start display event activity within minute using product,17
PE:The product shall respond fast to keep up-to-date data in the display.,non-functional,pethe product shall respond fast keep uptodate data display,9
F:The system shall have a MDI form that allows for the viewing of the graph and the data table.,non-functional,fthe system shall mdi form allows viewing graph data table,10
